"storm_basin","storm_year","storm_name","location","lf_type","lf_id","datetime","record_identifier","storm_status","windspeed","pressure","rmw","ne_34kt","se_34kt","nw_34kt","sw_34kt","ne_50kt","se_50kt","nw_50kt","sw_50kt","ne_64kt","se_64kt","nw_64kt","sw_64kt","hurricane_category","lat","lon"
AL,1900,GALVESTON,POINT (-95.1 29.1),LF,1,1900-09-08 21:00:00.000 -0500,L,HU,120.0,936.0,15.0,,,,,,,,,,,,,4,29.1,-95.1
AL,1903,FLORIDA,POINT (-80.1 26.1),LF,1,1903-09-11 18:00:00.000 -0500,L,HU,75.0,976.0,,,,,,,,,,,,,,1,26.1,-80.1
AL,1906,STORM 6,POINT (-88.6 30.2),LF,1,1906-09-27 06:00:00.000 -0500,L,HU,95.0,,45.0,,,,,,,,,,,,,2,30.2,-88.6
AL,1906,STORM 8,POINT (-81.1 24.7),LF,1,1906-10-18 05:00:00.000 -0500,L,HU,105.0,,10.0,,,,,,,,,,,,,3,24.7,-81.1
AL,1909,GRAND ISLE,POINT (-91.3 29.5),LF,1,1909-09-20 19:00:00.000 -0500,L,HU,100.0,952.0,30.0,,,,,,,,,,,,,3,29.5,-91.3
AL,1909,STORM 11,POINT (-81 24.7),LF,1,1909-10-11 13:00:00.000 -0500,L,HU,100.0,957.0,20.0,,,,,,,,,,,,,3,24.7,-81.0
AL,1909,VELASCO,POINT (-95.3 28.9),LF,1,1909-07-21 12:00:00.000 -0500,L,HU,100.0,,20.0,,,,,,,,,,,,,3,28.9,-95.3
AL,1910,STORM 5,POINT (-82 26.5),LF,1,1910-10-18 01:00:00.000 -0500,L,HU,95.0,955.0,30.0,,,,,,,,,,,,,2,26.5,-82.0
AL,1911,STORM 3,POINT (-80.7 32.2),LF,1,1911-08-28 05:00:00.000 -0500,L,HU,85.0,972.0,25.0,,,,,,,,,,,,,2,32.2,-80.7
AL,1913,STORM 4,POINT (-76.6 34.7),LF,1,1913-09-03 03:00:00.000 -0500,L,HU,75.0,976.0,40.0,,,,,,,,,,,,,1,34.7,-76.6
AL,1915,GALVESTON,POINT (-95.1 29.2),LF,1,1915-08-17 02:00:00.000 -0500,L,HU,115.0,940.0,25.0,,,,,,,,,,,,,4,29.2,-95.1
AL,1915,NEW ORLEANS,POINT (-90.3 29),LF,1,1915-09-29 13:00:00.000 -0500,L,HU,110.0,944.0,20.0,,,,,,,,,,,,,3,29.0,-90.3
AL,1916,STORM 6,POINT (-97.4 27),LF,1,1916-08-18 17:00:00.000 -0500,L,HU,115.0,932.0,25.0,,,,,,,,,,,,,4,27.0,-97.4
AL,1918,STORM 1,POINT (-93.2 29.8),LF,1,1918-08-06 14:00:00.000 -0400,L,HU,105.0,955.0,10.0,,,,,,,,,,,,,3,29.8,-93.2
AL,1919,FLORIDA KEYS,POINT (-82.9 24.6),LF,1,1919-09-10 03:00:00.000 -0400,L,HU,130.0,927.0,15.0,,,,,,,,,,,,,4,24.6,-82.9
AL,1919,FLORIDA KEYS,POINT (-97.3 27.2),LF,2,1919-09-14 17:00:00.000 -0400,L,HU,100.0,950.0,35.0,,,,,,,,,,,,,3,27.2,-97.3
AL,1920,STORM 2,POINT (-90.8 29.1),LF,1,1920-09-21 21:00:00.000 -0400,L,HU,85.0,975.0,30.0,,,,,,,,,,,,,2,29.1,-90.8
AL,1921,TAMPA BAY,POINT (-82.8 28.1),LF,1,1921-10-25 15:00:00.000 -0500,L,HU,100.0,958.0,20.0,,,,,,,,,,,,,3,28.1,-82.8
AL,1926,GREAT MIAMI,POINT (-80.3 25.6),LF,1,1926-09-18 08:00:00.000 -0400,L,HU,125.0,930.0,20.0,,,,,,,,,,,,,4,25.6,-80.3
AL,1926,GREAT MIAMI,POINT (-87.5 30.3),LF,2,1926-09-20 18:00:00.000 -0400,L,HU,100.0,955.0,15.0,,,,,,,,,,,,,3,30.3,-87.5
AL,1926,STORM 1,POINT (-80.8 29),LF,1,1926-07-28 06:00:00.000 -0400,L,HU,90.0,967.0,15.0,,,,,,,,,,,,,2,29.0,-80.8
AL,1926,STORM 3,POINT (-90.9 29.3),LF,1,1926-08-25 20:00:00.000 -0400,,HU,95.0,955.0,,,,,,,,,,,,,,2,29.3,-90.9
AL,1928,LAKE OKEECHOBEE,POINT (-80 26.7),LF,1,1928-09-16 20:00:00.000 -0400,L,HU,125.0,929.0,30.0,,,,,,,,,,,,,4,26.7,-80.0
AL,1929,STORM 2,POINT (-80.5 25),LF,1,1929-09-28 09:00:00.000 -0400,L,HU,100.0,948.0,30.0,,,,,,,,,,,,,3,25.0,-80.5
AL,1929,STORM 2,POINT (-85.7 30.2),LF,2,1929-09-30 23:00:00.000 -0500,L,HU,70.0,975.0,,,,,,,,,,,,,,1,30.2,-85.7
AL,1932,FREEPORT,POINT (-95.2 29),LF,1,1932-08-14 00:00:00.000 -0400,L,HU,130.0,935.0,10.0,,,,,,,,,,,,,4,29.0,-95.2
AL,1933,CHESAPEAKE-POTOMAC,POINT (-75.6 35.8),LF,1,1933-08-23 06:00:00.000 -0400,L,HU,80.0,963.0,40.0,,,,,,,,,,,,,1,35.8,-75.6
AL,1933,STORM 5,POINT (-80.1 27.1),LF,1,1933-07-30 12:00:00.000 -0400,L,HU,65.0,988.0,25.0,,,,,,,,,,,,,1,27.1,-80.1
AL,1933,STORM 5,POINT (-97.2 25.8),LF,2,,,,,,,,,,,,,,,,,,,,25.8,-97.2
AL,1933,STORM 8,POINT (-97.2 26.1),LF,1,1933-09-05 00:00:00.000 -0400,L,HU,110.0,940.0,20.0,,,,,,,,,,,,,3,26.1,-97.2
AL,1934,STORM 1,POINT (-91.7 29.7),LF,1,1934-06-16 15:00:00.000 -0400,L,HU,85.0,966.0,30.0,,,,,,,,,,,,,2,29.7,-91.7
AL,1934,STORM 3,POINT (-96.8 28.1),LF,1,1934-07-25 13:00:00.000 -0400,L,HU,75.0,979.0,25.0,,,,,,,,,,,,,1,28.1,-96.8
AL,1935,LABOR DAY,POINT (-80.8 24.8),LF,1,1935-09-02 22:00:00.000 -0400,L,HU,160.0,892.0,5.0,,,,,,,,,,,,,5,24.8,-80.8
AL,1935,YANKEE,POINT (-80.1 25.9),LF,1,1935-11-04 13:00:00.000 -0500,L,HU,85.0,973.0,10.0,,,,,,,,,,,,,2,25.9,-80.1
AL,1938,GREAT NEW ENGLAND,POINT (-72.9 40.7),LF,1,1938-09-21 16:00:00.000 -0400,L,HU,105.0,941.0,40.0,,,,,,,,,,,,,3,40.7,-72.9
AL,1940,STORM 3,POINT (-80.8 32.1),LF,1,1940-08-11 16:00:00.000 -0400,L,HU,85.0,972.0,25.0,,,,,,,,,,,,,2,32.1,-80.8
AL,1941,STORM 2,POINT (-95.6 28.8),LF,1,1941-09-23 18:00:00.000 -0400,L,HU,110.0,,20.0,,,,,,,,,,,,,3,28.8,-95.6
AL,1941,STORM 5,POINT (-80.3 25.5),LF,1,1941-10-06 06:00:00.000 -0500,L,HU,85.0,,10.0,,,,,,,,,,,,,2,25.5,-80.3
AL,1941,STORM 5,POINT (-84.6 29.9),LF,2,1941-10-07 04:00:00.000 -0500,L,HU,80.0,982.0,20.0,,,,,,,,,,,,,1,29.9,-84.6
AL,1942,MATAGORDA,POINT (-96.6 28.3),LF,1,1942-08-30 05:00:00.000 -0400,L,HU,100.0,950.0,20.0,,,,,,,,,,,,,3,28.3,-96.6
AL,1943,STORM 1,POINT (-94.6 29.5),LF,1,1943-07-27 14:00:00.000 -0400,L,HU,90.0,967.0,15.0,,,,,,,,,,,,,2,29.5,-94.6
AL,1944,CUBA-FLORIDA,POINT (-82.9 24.6),LF,1,1944-10-18 17:00:00.000 -0400,L,HU,105.0,949.0,30.0,,,,,,,,,,,,,3,24.6,-82.9
AL,1944,GREAT ATLANTIC,POINT (-71.6 41.4),LF,1,1944-09-15 00:00:00.000 -0400,L,HU,85.0,957.0,30.0,,,,,,,,,,,,,2,41.4,-71.6
AL,1944,GREAT ATLANTIC,POINT (-72.2 40.9),LF,1,1944-09-14 22:00:00.000 -0400,L,HU,90.0,954.0,30.0,,,,,,,,,,,,,2,40.9,-72.2
AL,1944,STORM 3,POINT (-78.1 33.9),LF,1,1944-08-01 19:00:00.000 -0400,L,HU,70.0,985.0,10.0,,,,,,,,,,,,,1,33.9,-78.1
AL,1945,HOMESTEAD,POINT (-80.3 25.3),LF,1,1945-09-15 15:30:00.000 -0400,L,HU,115.0,949.0,10.0,,,,,,,,,,,,,4,25.3,-80.3
AL,1945,STORM 5,POINT (-96.7 28.2),LF,1,1945-08-27 08:00:00.000 -0400,L,HU,100.0,963.0,10.0,,,,,,,,,,,,,3,28.2,-96.7
AL,1946,STORM 6,POINT (-82.6 27.5),LF,1,1946-10-07 21:00:00.000 -0500,L,HU,75.0,980.0,35.0,,,,,,,,,,,,,1,27.5,-82.6
AL,1947,FORT LAUDERDALE,POINT (-80.1 26.1),LF,1,1947-09-17 12:30:00.000 -0400,L,HU,115.0,943.0,15.0,,,,,,,,,,,,,4,26.1,-80.1
AL,1947,FORT LAUDERDALE,POINT (-89.5 29.6),LF,2,1947-09-19 10:00:00.000 -0400,L,HU,95.0,966.0,25.0,,,,,,,,,,,,,2,29.6,-89.5
AL,1947,STORM 9,POINT (-81.2 25.4),LF,1,1947-10-11 21:00:00.000 -0500,L,HU,80.0,975.0,,,,,,,,,,,,,,1,25.4,-81.2
AL,1947,STORM 9,POINT (-81.1 31.8),LF,2,1947-10-15 07:00:00.000 -0500,,HU,90.0,,,,,,,,,,,,,,,2,31.8,-81.1
AL,1948,STORM 8,POINT (-81.6 24.6),LF,1,1948-09-21 13:00:00.000 -0400,L,HU,105.0,955.0,10.0,,,,,,,,,,,,,3,24.6,-81.6
AL,1948,STORM 8,POINT (-81.3 25.8),LF,2,1948-09-22 01:00:00.000 -0400,L,HU,115.0,940.0,10.0,,,,,,,,,,,,,4,25.8,-81.3
AL,1948,STORM 9,POINT (-81.2 24.7),LF,1,1948-10-05 13:00:00.000 -0500,L,HU,90.0,,,,,,,,,,,,,,,2,24.7,-81.2
AL,1949,FLORIDA,POINT (-80 26.6),LF,1,1949-08-26 19:00:00.000 -0400,L,HU,115.0,954.0,20.0,,,,,,,,,,,,,4,26.6,-80.0
AL,1949,STORM 11,POINT (-95.6 28.8),LF,1,1949-10-04 00:00:00.000 -0500,L,HU,95.0,965.0,15.0,,,,,,,,,,,,,2,28.8,-95.6
AL,1950,BAKER,POINT (-88 30.2),LF,1,1950-08-30 23:00:00.000 -0400,L,HU,75.0,979.0,20.0,,,,,,,,,,,,,1,30.2,-88.0
AL,1950,EASY,POINT (-82.8 29.1),LF,1,1950-09-05 13:00:00.000 -0400,L,HU,105.0,960.0,15.0,,,,,,,,,,,,,3,29.1,-82.8
AL,1950,EASY,POINT (-82.8 29.1),LF,1,1950-09-05 14:00:00.000 -0400,,HU,105.0,960.0,,,,,,,,,,,,,,3,29.1,-82.8
AL,1950,KING,POINT (-80.2 25.7),LF,1,1950-10-18 00:00:00.000 -0500,L,HU,115.0,955.0,5.0,,,,,,,,,,,,,4,25.7,-80.2
AL,1954,CAROL,POINT (-72 41.3),LF,1,1954-08-31 11:00:00.000 -0400,L,HU,100.0,957.0,20.0,,,,,,,,,,,,,3,41.3,-72.0
AL,1954,CAROL,POINT (-72.2 40.9),LF,1,1954-08-31 10:00:00.000 -0400,L,HU,100.0,955.0,20.0,,,,,,,,,,,,,3,40.9,-72.2
AL,1954,EDNA,POINT (-70.5 41.4),LF,1,1954-09-11 14:30:00.000 -0400,L,HU,95.0,950.0,25.0,,,,,,,,,,,,,2,41.4,-70.5
AL,1954,HAZEL,POINT (-78.6 33.9),LF,1,1954-10-15 10:30:00.000 -0500,L,HU,115.0,938.0,20.0,,,,,,,,,,,,,4,33.9,-78.6
AL,1955,CONNIE,POINT (-76.7 34.7),LF,1,1955-08-12 11:00:00.000 -0400,L,HU,85.0,962.0,30.0,,,,,,,,,,,,,2,34.7,-76.7
AL,1955,DIANE,POINT (-77.9 34),LF,1,1955-08-17 08:00:00.000 -0400,L,TS,60.0,985.0,,,,,,,,,,,,,,,34.0,-77.9
AL,1955,IONE,POINT (-76.7 34.7),LF,1,1955-09-19 07:00:00.000 -0400,L,HU,90.0,955.0,25.0,,,,,,,,,,,,,2,34.7,-76.7
AL,1956,FLOSSY,POINT (-89.4 29.1),LF,1,1956-09-24 06:00:00.000 -0400,L,HU,75.0,980.0,20.0,,,,,,,,,,,,,1,29.1,-89.4
AL,1957,AUDREY,POINT (-93.7 29.8),LF,1,1957-06-27 09:30:00.000 -0400,L,HU,110.0,946.0,15.0,,,,,,,,,,,,,3,29.8,-93.7
AL,1959,DEBRA,POINT (-95.2 29.1),LF,1,1959-07-25 01:00:00.000 -0400,L,HU,75.0,980.0,20.0,,,,,,,,,,,,,1,29.1,-95.2
AL,1959,GRACIE,POINT (-80.4 32.5),LF,1,1959-09-29 13:00:00.000 -0400,L,HU,115.0,951.0,10.0,,,,,,,,,,,,,4,32.5,-80.4
AL,1960,DONNA,POINT (-81.6 25.9),LF,1,1960-09-10 12:00:00.000 -0400,L,HU,105.0,942.0,20.0,,,,,,,,,,,,,3,25.9,-81.6
AL,1960,DONNA,POINT (-80.9 24.8),LF,1,1960-09-10 03:00:00.000 -0400,L,HU,125.0,930.0,20.0,,,,,,,,,,,,,4,24.8,-80.9
AL,1960,DONNA,POINT (-77.3 34.6),LF,2,1960-09-12 00:00:00.000 -0400,L,HU,90.0,958.0,50.0,,,,,,,,,,,,,2,34.6,-77.3
AL,1960,DONNA,POINT (-72.9 40.7),LF,3,1960-09-12 15:00:00.000 -0400,L,HU,85.0,959.0,50.0,,,,,,,,,,,,,2,40.7,-72.9
AL,1961,CARLA,POINT (-96.4 28.3),LF,1,1961-09-11 16:00:00.000 -0400,L,HU,125.0,931.0,20.0,,,,,,,,,,,,,4,28.3,-96.4
AL,1963,CINDY,POINT (-94.4 29.4),LF,1,,,,,,,,,,,,,,,,,,,,29.4,-94.4
AL,1964,CLEO,POINT (-80.1 25.8),LF,1,1964-08-27 04:00:00.000 -0400,L,HU,95.0,968.0,10.0,,,,,,,,,,,,,2,25.8,-80.1
AL,1964,DORA,POINT (-81.3 29.9),LF,1,1964-09-10 02:00:00.000 -0400,L,HU,95.0,966.0,5.0,,,,,,,,,,,,,2,29.9,-81.3
AL,1964,HILDA,POINT (-91.5 29.5),LF,1,1964-10-03 19:00:00.000 -0400,L,HU,90.0,959.0,35.0,,,,,,,,,,,,,2,29.5,-91.5
AL,1964,ISBELL,POINT (-81.4 25.8),LF,1,1964-10-14 17:00:00.000 -0400,L,HU,90.0,970.0,20.0,,,,,,,,,,,,,2,25.8,-81.4
AL,1965,BEY,POINT (-80.5 25),LF,1,,,,,,,,,,,,,,,,,,,,25.0,-80.5
AL,1965,BEY,POINT (-90.1 29.2),LF,2,,,,,,,,,,,,,,,,,,,,29.2,-90.1
AL,1965,DEBBIE,POINT (-90.2 29.1),LF,1,1965-09-29 16:00:00.000 -0400,L,TS,35.0,1002.0,,,,,,,,,,,,,,,29.1,-90.2
AL,1966,ALMA,POINT (-84.2 30.1),LF,1,1966-06-09 17:00:00.000 -0400,L,HU,75.0,977.0,30.0,,,,,,,,,,,,,1,30.1,-84.2
AL,1967,BEULAH,POINT (-97.2 25.9),LF,1,1967-09-20 08:00:00.000 -0400,L,HU,110.0,940.0,10.0,,,,,,,,,,,,,3,25.9,-97.2
AL,1968,GLADYS,POINT (-82.7 28.7),LF,1,1968-10-19 00:00:00.000 -0400,L,HU,85.0,978.0,10.0,,,,,,,,,,,,,2,28.7,-82.7
AL,1969,CAMILLE,POINT (-89.4 30.3),LF,1,1969-08-18 00:00:00.000 -0400,L,HU,150.0,900.0,5.0,,,,,,,,,,,,,5,30.3,-89.4
AL,1970,CELIA,POINT (-97.1 27.8),LF,1,1970-08-03 17:00:00.000 -0400,L,HU,120.0,944.0,10.0,,,,,,,,,,,,,4,27.8,-97.1
AL,1971,DORIA,POINT (-76.8 34.8),LF,1,1971-08-27 14:00:00.000 -0400,,TS,55.0,989.0,,,,,,,,,,,,,,,34.8,-76.8
AL,1971,EDITH,POINT (-92.4 30),LF,1,,,,,,,,,,,,,,,,,,,,30.0,-92.4
AL,1971,FERN,POINT (-96.5 28.3),LF,1,1971-09-10 14:00:00.000 -0400,,TS,60.0,979.0,,,,,,,,,,,,,,,28.3,-96.5
AL,1971,GINGER,POINT (-77 34.7),LF,1,1971-09-30 20:00:00.000 -0400,,TS,60.0,991.0,,,,,,,,,,,,,,,34.7,-77.0
AL,1972,AGNES,POINT (-85.4 29.9),LF,1,,,,,,,,,,,,,,,,,,,,29.9,-85.4
AL,1972,AGNES,POINT (-73.7 40.6),LF,2,,,,,,,,,,,,,,,,,,,,40.6,-73.7
AL,1972,AGNES,POINT (-73.7 40.6),LF,3,,,,,,,,,,,,,,,,,,,,40.6,-73.7
AL,1973,DELIA,POINT (-95 29.2),LF,1,,,,,,,,,,,,,,,,,,,,29.2,-95.0
AL,1974,CARMEN,POINT (-91.3 29.4),LF,1,1974-09-08 02:00:00.000 -0400,,HU,105.0,,,,,,,,,,,,,,,3,29.4,-91.3
AL,1975,ELOISE,POINT (-86.3 30.4),LF,1,,,,,,,,,,,,,,,,,,,,30.4,-86.3
AL,1976,BELLE,POINT (-73.3 40.6),LF,1,,,,,,,,,,,,,,,,,,,,40.6,-73.3
AL,1977,BABE,POINT (-91.2 29.5),LF,1,1977-09-05 08:00:00.000 -0400,,HU,65.0,,,,,,,,,,,,,,,1,29.5,-91.2
AL,1978,AMELIA,POINT (-97.4 26.4),LF,1,1978-07-30 20:00:00.000 -0400,,TS,45.0,1005.0,,,,,,,,,,,,,,,26.4,-97.4
AL,1979,BOB,POINT (-90.6 29.1),LF,1,1979-07-11 08:00:00.000 -0400,,HU,65.0,986.0,,,,,,,,,,,,,,1,29.1,-90.6
AL,1979,CLAUDETTE,POINT (-93.9 29.6),LF,1,1979-07-24 14:00:00.000 -0400,,TS,45.0,1000.0,,,,,,,,,,,,,,,29.6,-93.9
AL,1979,DAVID,POINT (-80.2 27.2),LF,1,1979-09-03 14:00:00.000 -0400,,HU,85.0,972.0,,,,,,,,,,,,,,2,27.2,-80.2
AL,1979,FREDERIC,POINT (-88.2 30.2),LF,1,,,,,,,,,,,,,,,,,,,,30.2,-88.2
AL,1980,ALLEN,POINT (-97.2 26.1),LF,1,1980-08-10 02:00:00.000 -0400,,HU,100.0,945.0,,,,,,,,,,,,,,3,26.1,-97.2
AL,1980,DANIELLE,POINT (-94.9 29.4),LF,1,1980-09-05 20:00:00.000 -0400,,TS,40.0,1004.0,,,,,,,,,,,,,,,29.4,-94.9
AL,1981,BRET,POINT (-76 37.4),LF,1,1981-07-01 02:00:00.000 -0400,,TD,30.0,1006.0,,,,,,,,,,,,,,,37.4,-76.0
AL,1981,DENNIS,POINT (-81.2 25.2),LF,1,1981-08-17 02:00:00.000 -0400,,TS,35.0,999.0,,,,,,,,,,,,,,,25.2,-81.2
AL,1982,CHRIS,POINT (-93.8 29.8),LF,1,1982-09-11 08:00:00.000 -0400,,TS,55.0,994.0,,,,,,,,,,,,,,,29.8,-93.8
AL,1983,ALICIA,POINT (-95.1 29.1),LF,1,1983-08-18 03:00:00.000 -0400,L,HU,100.0,962.0,10.0,,,,,,,,,,,,,3,29.1,-95.1
AL,1983,DEAN,POINT (-75.8 37.5),LF,1,1983-09-30 08:00:00.000 -0400,,TS,40.0,1010.0,,,,,,,,,,,,,,,37.5,-75.8
AL,1984,DIANA,POINT (-78 33.9),LF,1,1984-09-13 03:00:00.000 -0400,L,HU,80.0,979.0,15.0,,,,,,,,,,,,,1,33.9,-78.0
AL,1985,BOB,POINT (-80.5 32.2),LF,1,1985-07-24 23:00:00.000 -0400,L,HU,65.0,1003.0,20.0,,,,,,,,,,,,,1,32.2,-80.5
AL,1985,DANNY,POINT (-92.7 29.6),LF,1,1985-08-15 12:30:00.000 -0400,L,HU,80.0,987.0,15.0,,,,,,,,,,,,,1,29.6,-92.7
AL,1985,ELENA,POINT (-89.2 30.4),LF,1,1985-09-02 09:00:00.000 -0400,L,HU,100.0,959.0,10.0,,,,,,,,,,,,,3,30.4,-89.2
AL,1985,GLORIA,POINT (-75.6 35.2),LF,1,1985-09-27 01:30:00.000 -0400,L,HU,90.0,942.0,15.0,,,,,,,,,,,,,2,35.2,-75.6
AL,1985,GLORIA,POINT (-73.3 40.6),LF,2,1985-09-27 12:00:00.000 -0400,L,HU,75.0,961.0,10.0,,,,,,,,,,,,,1,40.6,-73.3
AL,1985,JUAN,POINT (-91.4 29.5),LF,1,1985-10-29 06:00:00.000 -0500,L,HU,65.0,974.0,15.0,,,,,,,,,,,,,1,29.5,-91.4
AL,1985,KATE,POINT (-85.4 30),LF,1,1985-11-21 17:30:00.000 -0500,L,HU,85.0,967.0,10.0,,,,,,,,,,,,,2,30.0,-85.4
AL,1986,BONNIE,POINT (-94.2 29.6),LF,1,1986-06-26 06:00:00.000 -0400,L,HU,75.0,990.0,10.0,,,,,,,,,,,,,1,29.6,-94.2
AL,1986,CHARLEY,POINT (-76.5 34.7),LF,1,1986-08-17 10:00:00.000 -0400,L,HU,65.0,990.0,15.0,,,,,,,,,,,,,1,34.7,-76.5
